Variable,Mean,Standard deviation,Coeff. of variation,Minimum,Maximum
GDP,9.637,0.431,0.045,7.992,10.520
CPI,4.189,0.915,0.219,0.978,5.394
ENERGY,4.335,0.264,0.061,3.467,4.891
OpenTrade,0.518,0.294,0.568,0.089,2.151
GovExp,0.249,0.090,0.360,0.000,0.475
Invest,0.233,0.039,0.166,0.146,0.389
D.GDP,0.024,0.025,,-0.090,0.214
D.CPI,0.045,0.042,,-0.046,0.321
D.ENERGY,0.006,0.071,,-0.242,0.423
D.OpenTrade,0.005,0.082,,-1.057,1.016
D.GovExp,0.001,0.019,,-0.334,0.120
D.Invest,-0.000,0.014,,-0.082,0.117
